"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"RSM00027612","MOSCOW, RS","2020-01-01","1.0",,
"RSM00027612","MOSCOW, RS","2020-01-02","3.0","1.7","-1.9"
"RSM00027612","MOSCOW, RS","2020-01-03","0.0","2.0",
"RSM00027612","MOSCOW, RS","2020-01-04","2.0",,"-1.3"
"RSM00027612","MOSCOW, RS","2020-01-05","0.0","1.3","-1.6"
"RSM00027612","MOSCOW, RS","2020-01-06","0.3","-0.1",
"RSM00027612","MOSCOW, RS","2020-01-07","0.0",,"-2.2"
"RSM00027612","MOSCOW, RS","2020-01-08","0.0","1.1","-0.8"
"RSM00027612","MOSCOW, RS","2020-01-09","3.3","2.2","-0.9"
"RSM00027612","MOSCOW, RS","2020-01-10","0.0","1.5",
"RSM00027612","MOSCOW, RS","2020-01-11",,,
"RSM00027612","MOSCOW, RS","2020-01-12","0.0","0.2","-6.0"
"RSM00027612","MOSCOW, RS","2020-01-13","3.6","2.5","-0.6"
"RSM00027612","MOSCOW, RS","2020-01-14","0.0","1.5",
"RSM00027612","MOSCOW, RS","2020-01-15","0.0","2.9","-1.3"
"RSM00027612","MOSCOW, RS","2020-01-16","1.3","3.1","2.3"
"RSM00027612","MOSCOW, RS","2020-01-17","1.0","4.5","2.3"
"RSM00027612","MOSCOW, RS","2020-01-18","0.0",,
"RSM00027612","MOSCOW, RS","2020-01-19","0.0",,"-1.5"
"RSM00027612","MOSCOW, RS","2020-01-20","0.0","2.9","0.2"
"RSM00027612","MOSCOW, RS","2020-01-21","5.1",,"0.8"
"RSM00027612","MOSCOW, RS","2020-01-22","3.3",,
"RSM00027612","MOSCOW, RS","2020-01-23","2.0",,
"RSM00027612","MOSCOW, RS","2020-01-24","4.1",,"-6.8"
"RSM00027612","MOSCOW, RS","2020-01-25","5.1","2.3",
"RSM00027612","MOSCOW, RS","2020-01-26","0.5",,"-1.6"
"RSM00027612","MOSCOW, RS","2020-01-27","2.0",,
"RSM00027612","MOSCOW, RS","2020-01-28","6.1",,"-6.2"
"RSM00027612","MOSCOW, RS","2020-01-29","0.5","1.2","-3.5"
"RSM00027612","MOSCOW, RS","2020-01-30","5.1",,
"RSM00027612","MOSCOW, RS","2020-01-31","0.5","1.8",
"RSM00027612","MOSCOW, RS","2020-02-01","0.5","2.2",
"RSM00027612","MOSCOW, RS","2020-02-02","7.6",,"-1.9"
"RSM00027612","MOSCOW, RS","2020-02-03","3.0",,
"RSM00027612","MOSCOW, RS","2020-02-04","0.8","-0.7",
"RSM00027612","MOSCOW, RS","2020-02-05","0.5","-3.6",
"RSM00027612","MOSCOW, RS","2020-02-06","3.3","-1.7","-7.8"
"RSM00027612","MOSCOW, RS","2020-02-07","0.0","-8.5",
"RSM00027612","MOSCOW, RS","2020-02-08","0.0","-6.6","-15.0"
"RSM00027612","MOSCOW, RS","2020-02-09","0.0","-1.0","-11.3"
"RSM00027612","MOSCOW, RS","2020-02-10","0.0","2.8","-2.0"
"RSM00027612","MOSCOW, RS","2020-02-11","6.1",,"-1.4"
"RSM00027612","MOSCOW, RS","2020-02-12","1.0","1.7",
